category,action,note,owner,priority,due_date,status
"Personal, coacher & kompetens","Fler coacher: yoga, meditation, breathwork",,,,,Ej påbörjad
"Event, mässor & PR","Event/workshops, konferens, hotell",,,,,Ej påbörjad
"Event, mässor & PR",Bjud in lokal press,,,,,Ej påbörjad
"Event, mässor & PR",Influencer-dag,,,,,Ej påbörjad
"Event, mässor & PR",Mässor/event/träffar att delta på,,,,,Ej påbörjad
"Event, mässor & PR",Event som 'Nordic' med våra grejer,Eget event i Nordic-stil,,,,Ej påbörjad
Drift & rutiner,Synka kalender,,,,,Ej påbörjad
Drift & rutiner,Daglig digital möte – tid & struktur,,,,,Ej påbörjad
Drift & rutiner,Gemensam WhatsApp,,,,,Ej påbörjad
Drift & rutiner,Dagar i huset – alla,Sätt gemensamma närvarodagar,,,,Ej påbörjad
Drift & rutiner,Städfirma,,,,,Ej påbörjad
Drift & rutiner,Vad gör vi varje dag framåt,Definiera daglig drift,,,,Ej påbörjad
Drift & rutiner,Öppningsdatum,Sätt datum (milstolpe),,,,Ej påbörjad
Okategoriserad,Hemsund,Oklart – förtydliga,,,,Ej påbörjad
Okategoriserad,Kuala Lumpur,Oklart – ev. studieresa?,,,,Ej påbörjad
Okategoriserad,Beat 2,Oklart – förtydliga,,,,Ej påbörjad
Okategoriserad,IR / booylab / vilopunkt / våra tjänster,Blandad punkt – dela upp/förtydliga,,,,Ej påbörjad
